CommitId;RefactoringType;RefactoringDetail
3b1e377f36ce1262cc508b22526e9997cb8dcb62;Extract Interface;Extract Interface	com.facebook.imagepipeline.image.HasImageMetadata from classes [com.facebook.imagepipeline.image.CloseableImage]
eab75456a5b05e4b99c7f2c42695dec671926d65;Change Attribute Type;Change Attribute Type	mProducerListener : ProducerListener to mProducerListener : ProducerListener2 in class com.facebook.imagepipeline.producers.AnimatedSingleUsePostprocessorProducerTest
eab75456a5b05e4b99c7f2c42695dec671926d65;Change Parameter Type;Change Parameter Type	producerListener : ProducerListener to producerListener : ProducerListener2 in method public BaseProducerContext(imageRequest ImageRequest, id String, producerListener ProducerListener2, callerContext Object, lowestPermittedRequestLevel ImageRequest.RequestLevel, isPrefetch boolean, isIntermediateResultExpected boolean, priority Priority) in class com.facebook.imagepipeline.producers.BaseProducerContext
eab75456a5b05e4b99c7f2c42695dec671926d65;Change Return Type;Change Return Type	InternalProducerListener to ProducerListener2 in method public getProducerListener() : ProducerListener2 in class com.facebook.imagepipeline.producers.BaseProducerContext
eab75456a5b05e4b99c7f2c42695dec671926d65;Rename Method;Rename Method	public getProducerListener2() : InternalProducerListener renamed to public getProducerListener() : ProducerListener2 in class com.facebook.imagepipeline.producers.BaseProducerContext
eab75456a5b05e4b99c7f2c42695dec671926d65;Change Variable Type;Change Variable Type	listener : ProducerListener to listener : ProducerListener2 in method public produceResults(consumer Consumer<CloseableReference<CloseableImage>>, producerContext ProducerContext) : void in class com.facebook.imagepipeline.producers.BitmapMemoryCacheProducer
eab75456a5b05e4b99c7f2c42695dec671926d65;Change Attribute Type;Change Attribute Type	mProducerListener : ProducerListener to mProducerListener : ProducerListener2 in class com.facebook.imagepipeline.producers.DecodeProducer.ProgressiveDecoder
eab75456a5b05e4b99c7f2c42695dec671926d65;Change Parameter Type;Change Parameter Type	listener : ProducerListener to listener : ProducerListener2 in method package getExtraMap(listener ProducerListener2, producerContext ProducerContext, valueFound boolean, sizeInBytes int) : Map<String,String> in class com.facebook.imagepipeline.producers.DiskCacheReadProducer
eab75456a5b05e4b99c7f2c42695dec671926d65;Change Variable Type;Change Variable Type	listener : ProducerListener to listener : ProducerListener2 in method private onFinishDiskReads(consumer Consumer<EncodedImage>, producerContext ProducerContext) : Continuation<EncodedImage,Void> in class com.facebook.imagepipeline.producers.DiskCacheReadProducer
eab75456a5b05e4b99c7f2c42695dec671926d65;Change Variable Type;Change Variable Type	listener : ProducerListener to listener : ProducerListener2 in method public produceResults(consumer Consumer<EncodedImage>, producerContext ProducerContext) : void in class com.facebook.imagepipeline.producers.EncodedMemoryCacheProducer
eab75456a5b05e4b99c7f2c42695dec671926d65;Change Return Type;Change Return Type	ProducerListener to ProducerListener2 in method public getListener() : ProducerListener2 in class com.facebook.imagepipeline.producers.FetchState
eab75456a5b05e4b99c7f2c42695dec671926d65;Change Variable Type;Change Variable Type	listener : ProducerListener to listener : ProducerListener2 in method public produceResults(consumer Consumer<EncodedImage>, producerContext ProducerContext) : void in class com.facebook.imagepipeline.producers.LocalExifThumbnailProducer
eab75456a5b05e4b99c7f2c42695dec671926d65;Change Variable Type;Change Variable Type	listener : ProducerListener to listener : ProducerListener2 in method public produceResults(consumer Consumer<EncodedImage>, producerContext ProducerContext) : void in class com.facebook.imagepipeline.producers.LocalFetchProducer
